"UKPRN","HE Provider","Total income","Total expenditure","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10000911,"BCNO Limited",10357,11072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001264,"Central School of Ballet",9647,10626,0,0,5,5,0,0,0,0,0,0,0,0,0,5
10001444,"National Centre for Circus Arts",5458,5583,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10002011,"Bird College",11236,10934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002313,"ESCP Europe Business School",56667,59150,0,5,0,10,0,0,0,0,0,0,0,0,0,10
10002344,"European School of Osteopathy",8938,8653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003284,"Inchbald School of Design Limited",4341,4891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004028,"The Place, London Contemporary Dance School (LCDS)",24437,23251,0,0,10,10,0,0,0,0,0,0,5,5,0,15
10005378,"Rambert School",9175,8809,0,0,15,15,0,0,0,0,0,0,0,5,0,15
10007765,"Heythrop College",18364,19373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007810,"Birmingham Christian College",1245,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007832,"Birmingham Newman University",145952,140621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007833,"Wrexham University",253533,255632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008574,"The University of Wales (central functions)",22151,32824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020038,"Commonwealth College of Excellence",167,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020118,"Higher Rhythm Limited",918,788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020381,"Tavistock and Portman NHS Foundation Trust",258518,272467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020436,"Royal School of Needlework (The)",11587,11326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022944,"Stratford College London",188,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023442,"The College of Osteopaths",4125,3962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023871,"Results Consortium Limited",6932,6111,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10027603,"International College of Musical Theatre",692,858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10029682,"The Islamic College",4121,4041,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10029843,"Waltham International College Limited",27855,23945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030497,"Anglo Skills College",187,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10031239,"LMA",23738,22135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036456,"Academy of Live Technology Ltd",8827,8383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10038772,"British Academy of Jewellery Limited",11450,10549,0,0,0,0,0,5,0,5,0,0,0,5,0,10
10042570,"Escape Studios",51743,90095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10042679,"International Business College Manchester Limited",583,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10042737,"UK Business College Ltd",666,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10048199,"Northeastern University London",102001,93118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10049370,"MLA College",3446,5185,0,0,5,5,0,0,0,0,0,0,0,0,0,5
10053304,"Navitas UK Holdings Limited",271560,229436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10057213,"CEG UFP Limited",189651,185319,0,0,0,0,0,0,5,5,5,0,0,5,0,15
10057622,"The School of Information Risk Management",2591,2066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10062833,"Raindance Educational Services Limited",1311,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10066143,"Paris Dauphine International",8450,8483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067355,"Dyson Technical Training Limited",13209,11935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10067388,"The Institute of Ismaili Studies",78481,77594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067406,"New Model Institute for Technology and Engineering (NMITE)",36125,32684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10067601,"JSA Education Group Ltd.",1380,3315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10067623,"The London Interdisciplinary School Ltd",1793,13591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10067648,"University Academy 92 Limited",18025,28375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10082728,"INTO University Partnerships Limited",486650,483901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10082743,"ThinkSpace Education Limited",5257,3717,5,0,10,15,0,0,0,0,0,0,0,0,0,15
10082828,"College of Legal Practice Limited",1056,6444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10083403,"The Engineering and Design Institute London",1346,10939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10083476,"The Prince's Foundation",121806,102061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10086359,"Caspian School of Academics",166,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10088214,"S P Jain London School of Management Limited",0,1222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10000654,"The Berkshire College of Agriculture (BCA)",NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,0,10
10000670,"Bexhill College",NA,NA,0,0,0,0,0,0,5,5,0,0,0,0,0,5
10000833,"Bracknell and Wokingham College",NA,NA,0,0,0,5,0,0,0,0,0,0,0,0,0,5
10000950,"Brooklands College",NA,NA,0,0,0,0,0,0,0,0,0,0,5,15,0,15
10002094,"Ealing, Hammersmith & West London College",NA,NA,0,0,0,5,0,0,0,10,0,0,0,0,0,15
10002143,"Eastleigh College",NA,NA,0,5,0,5,0,5,0,5,0,0,0,0,0,10
10002843,"Hadlow College",NA,NA,0,0,0,5,0,5,0,5,0,0,0,5,0,10
10003088,"Richmond and Hillcroft Adult and Community College",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10003768,"Lancaster and Morecambe College",NA,NA,0,0,5,5,0,0,5,5,0,0,0,0,0,10
10004365,"Millennium Performing Arts Ltd",NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,0,5
10005465,"Richard Huish College",NA,NA,0,0,5,5,0,0,0,5,0,0,0,5,0,10
10005916,"Slough Borough Council",NA,NA,0,0,5,5,0,0,0,0,5,0,5,5,0,15
10006226,"St Mary's College",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007321,"Waltham Forest College",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10030408,"Gower College Swansea",NA,NA,0,10,0,15,0,0,0,0,0,0,0,0,0,15
10046354,"Prospects College of Advanced Technology",NA,NA,0,0,0,0,0,5,0,5,0,0,0,0,0,5
10089591,"LIBF Limited",NA,NA,0,10,5,10,0,0,0,0,0,0,0,0,0,15
